新能源导电碳材料技术负责人,30-50k·14薪,无锡-梁溪区,无,统招本科,1.在总经理领导下，主管公司技术工作，组织编制公司技术开发和技术发展的长远规划；2.制定并审核公司技术管理制度和技术规程标准，且根据现状适时对其进行补充和完善；3.负责组织开展技术改进费用的分析工作，制定成本降低方案，有效控制费用；4.关注行业新技术，组织制定新产品开发计划，确保技术的超前性、竞争性；5.组织指导、监督技术工程师及时妥善处理生产过程中的技术问题；6.确保公司新项目技术方面的顺利推进，协助实施技术方案的评审工作，推动项目按时完成；7.对公司的主要技术和研发成果直接领导及指挥，保证与关联单位合作顺利，使研发成果落地，不断提高技术及工艺水平；8.具有良好的团队领导能力，对部门技术人员及时进行工作指导、安排培训；9.公司全面工程技术总结工作；10、完成领导交办的其他任务。任职要求：1、化学、材料相关专业；2、10年以上相关行业工作经历，且5年以上大型公司或项目管理经验；3、熟悉新能源汽车行业标准、法规及体系流程；4、熟悉导电碳材料及其衍生产品的工艺及体系流程；5、具备优秀的团队管理能力、领导能力、专业胜任能力及忠诚度；6、有创新意识，能准确把握行业脉搏，有较强的逻辑性，语言表达能力良好，优秀的沟通协调能力。
研发工程师_ 碳纳米材料制备及应用,10-15k,无锡-锡山区,1-3年,硕士及以上,岗位职责：1、参与碳纳米材料（碳纳米纤维、碳纳米管、石墨烯等）的研发工作，制定并优化工艺路线；2、研发技术文档、科研立项材料、专利等的撰写；3、完成上级交办的其他事项。岗位要求：学历要求：硕士及以上专业要求：催化、化学、化工、材料科学与工程、能源材料等相关专业。有催化剂的制备、化学反应器（固定床、流化床等）的设计优化、分离纯化、锂电池导电剂等方面研发经验者优先。工作经验要求：2年及以上其他要求：细致严谨，有较强的沟通协调能力和团队意识。
高级研发工程师_ 碳纳米材料制备及应用,20-30k,无锡-锡山区,1-3年,博士,岗位职责：1、负责碳纳米材料（碳纳米纤维、碳纳米管、石墨烯等）的研发工作，制定并优化工艺路线；2、制定完善研发相关规章制度；3、负责研发技术文档、科研立项材料、专利等的撰写；4、完成上级交办的其他事项。岗位要求：学历要求：博士专业要求：催化、化学、化工、材料科学与工程、能源材料等相关专业。有催化剂的制备、化学反应器（固定床、流化床等）的设计优化、分离纯化、锂电池材料等方面研发经验者优先。工作经验要求：2年及以上其他要求：较强的沟通协调能力和管理能力。
研发工程师-碳纳米材料制备及应用,10-15k,无锡-锡山区,1-3年,硕士及以上,岗位职责：1、参与碳纳米材料（碳纳米纤维、碳纳米管、石墨烯等）的研发工作，制定并优化工艺路线；2、研发技术文档、科研立项材料、专利等的撰写；3、完成上级交办的其他事项。任职要求： 学历要求：硕士及以上专业要求：催化、化学、化工、材料科学与工程、能源材料等相关专业。有催化剂的制备、化学反应器（固定床、流化床等）的设计优化、分离纯化、锂电池导电剂等方面研发经验者优先。工作经验要求：2年及以上其他要求：细致严谨，有较强的沟通协调能力和团队意识。
复合材料工程师（碳纤、玻纤）,18-25k,无锡-锡山区,3-5年,本科及以上,职责描述：1、负责制定产品工艺方案与技术标准，编制工艺文件； 2、负责产品制造过程的作业规范、加工流程及工艺执行的监督；3、负责指导、协调、解决生产过程中出现的技术问题； 4、负责组织实施产品工艺改进试验，提升改善产品质量稳定性；5、负责组织新产品、新技术项目的研制工作，研究改进现有产品。任职要求：1. 熟悉环氧树脂性能特点，有相关树脂研发合成经验；2. 了解玻纤（玻璃钢）、碳纤维复合材料手糊、缠绕、预浸料等多种复合材料成型工艺方法； 3. 具有根据产品要求设计或改善树脂配方，完成产品生产工艺制作能力；  4. 熟练使用Auto CAD、SolidWorks、UG或CATIA等其中一种工程软件，具备一定的工程图纸理解能力；5. 本科以上：材料、化学、高分子、化工等相关专业。
研发经理（导电材料）,30-40k·14薪,常州,经验不限,硕士及以上,工作内容：1. 含导电碳材料的一些塑胶复合材料制备、配方改进及相关应用产品开发；2. 能独立进行实验设计及产品应用开发；3. 按照项目进度开展试验，并按期保质保量完成项目；4. 能够按照客户要求改进产品设计及优化性能。任职要求：1. 硕士以上学位，化学、材料、高分子等相关专业；2. 具有3年以上塑胶复合材料相关领域工作经验；3. 熟悉各种塑胶原料基础知识与加工能力，具有塑胶材料特性改性能力，熟悉塑胶复合材料前沿领域进展和技术发展趋势。4. 具有材料力学分析经验；5. 需有操作挤出机及生产设备能力。6. 热爱研发工作，具备较强的技术和工艺资料收集分析和论文写作能力；7. 认真严谨，思路清晰，具有良好的沟通、协调、抗压力和学习能力。研发方向就是碳纳米管、导电塑料、锂电月薪：20-40K+股票激励福利待遇：五险一金（养老、医疗、失业、工伤、生育，公积金按照12%比例缴纳）补充医疗及意外险（商业保险）健康体检免费工作餐带薪休假（年假、婚假、丧假、产假等）节假日福利教育培训（专业的内训与外训，技术人员有海外教育经验导师带领培训）年终奖金项目提成购房补贴+租房补贴+生活补贴+留镇学费补助+社保补贴
项目经理（导电塑料）,30-50k·13薪,常州-武进区,3-5年,硕士及以上,工作内容：1. 含导电碳材料的一些塑胶复合材料制备、配方改进及相关应用产品开发；2. 能独立进行实验设计及产品应用开发；3. 按照项目进度开展试验，并按期保质保量完成项目；4. 能够按照客户要求改进产品设计及优化性能。任职要求：1. 硕士以上学位，化学、材料、高分子等相关专业；2. 具有3年以上塑胶复合材料相关领域工作经验；3. 熟悉各种塑胶原料基础知识与加工能力，具有塑胶材料特性改性能力，熟悉塑胶复合材料前沿领域进展和技术发展趋势。4. 具有材料力学分析经验；5. 需有操作挤出机及生产设备能力。6. 有碳纳米管与石墨烯加工应用者更佳；7. 热爱研发工作，具备较强的技术和工艺资料收集分析和论文写作能力； 8. 认真严谨，思路清晰，具有良好的沟通、协调、抗压力和学习能力。
项目经理（导电塑料）,30-50k,镇江-京口区,3-5年,硕士及以上,工作内容：1. 含导电碳材料的一些塑胶复合材料制备、配方改进及相关应用产品开发；2. 能独立进行实验设计及产品应用开发；3. 按照项目进度开展试验，并按期保质保量完成项目；4. 能够按照客户要求改进产品设计及优化性能。任职要求：1. 硕士以上学位，化学、材料、高分子等相关专业；2. 具有3年以上塑胶复合材料相关领域工作经验；3. 熟悉各种塑胶原料基础知识与加工能力，具有塑胶材料特性改性能力，熟悉塑胶复合材料前沿领域进展和技术发展趋势。4. 具有材料力学分析经验；5. 需有操作挤出机及生产设备能力。6. 有碳纳米管与石墨烯加工应用者更佳；7. 热爱研发工作，具备较强的技术和工艺资料收集分析和论文写作能力； 8. 认真严谨，思路清晰，具有良好的沟通、协调、抗压力和学习能力。
研发主管,20-30k,无锡-锡山区,1-3年,博士,岗位职责：1、配合项目负责人参与碳纳米材料的研发及新工艺的制定，提出材料研发过程中的工艺问题并参与解决，不断改进、完善现有的制造工艺；2、负责实验室的日常维护管理；3、制定完善部门规章制度；4、负责科研立项材料及相关技术材料和专利的撰写；5、完成上级交办的其他事项。任职要求：学历要求：博士专业要求：材料科学与工程、催化、化学、能源材料等相关专业工作经验要求：3年以上其他要求：较强的沟通协调能力和管理能力。
研发工程师,10-15k,无锡-锡山区,经验不限,硕士及以上,职责描述：1、配合研发主管参与碳纳米材料的研发及新工艺的制定，提出材料研发过程中的工艺问题并参与解决，不断改进、完善现有的制造工艺；2、参与实验室的日常维护管理，对实验室设备运转及实验过程发现的异常情况及时反馈并记录；3、协助制定完善部门规章制度；4、协助科研立项材料及相关技术材料和专利的撰写；5、完成上级交办的其他事项。任职要求：学历：硕士专业：材料科学与工程、催化、化学、能源材料等相关专业。其他要求：细致严谨，有较强的沟通协调能力和团队意识。有催化剂研发经验者优先。
质量检测员,6-9k,苏州-太仓,3-5年,大专及以上,"特别说明:我公司太仓制造中心（太仓市城厢镇太仓市科技产业园横四路51号）预计于2021年底启用。 该职位的工作地点前期为上海市松江区（松江区小昆山镇大港乐都西路2715号）。 新厂房启用后，工作地点迁至太仓制造中心。 目前居住太仓候选人，随迁前至上海工作期间，不搭乘班车者每月可享一千元临时住宿补贴。 太仓往返松江通勤班车已开通，7：00自太仓城厢镇南郊小学发车，8：15至公司。一、工作职责1.对供应商提供的产品进行质量检验，及时发现问题和汇报2.对供应商的在制品进行质量检验并提供技术支持3.工作中发现的生产或装配工作中的技术问题及时与领导或技术部沟通4.熟悉质量检验及控制流程. 5.跟踪和协调供应商不合格处理6.配合生产线分析和测量工作二、任职要求：1.中专及以上学历，机械类及相关专业优先2.3年以上在机械行业的相关工作经验，熟悉机械加工工艺,有项目型质量控制经验。3.熟悉碳钢类材料相关标准，了解钢结构制造流程及相应工序和要求，有焊接检验经验。4.能够熟练使用常规量具如：卡尺，千分尺，高度尺，5.良好的沟通表达能力，有责任心三、公司各项福利：1.现金类福利：除基本工资外，员工享有交通补贴（全员享有/每月发放），季度运营奖金（运营相关人员享有/季度发放），高温津贴（全员享有/6~9月发放/车间250元每月），年终奖（依公司及个人业绩综合评估/1~2个月基本工资不等）。2.非现金类福利：社保公积金：公司为全体员工缴纳社保和公积金，缴纳基数依员工上一年月平均收入为准；年休假：员工加入公司时如已连续工作12个月，即享有10天年休，此后服务期限每满一年增加一天；带薪病假：员工服务满一年，可享有每年4天的带薪病假；其他休假：员工依法享有各类婚假/产假/陪产假等；年度旅游：公司每年统一组织全体员工国内3~5天的旅游；年度体检：公司每年为员工提供价值1200元的年度体检卡；节日福利：开门红包，春节慰问，端午慰问，中秋慰问，年会聚餐；商业保险：公司为每位员工购买商业意外保险和意外医疗保险；其他福利：免费工作餐及加班，高质量工作服安全鞋等等。四、公司上下班时间：-公司采五天八小时的工作方式，平时及周末加班采调休或依1.5倍标准结算加班费；-上午8：30~12：00，下午12：30~17：00；-车间人员加班在遵守劳动法情况下，平均每月20~30小时左右。-车间人员上下午均有工间休息时间；-公司为非标定制项目，车间工作依项目制方式运转，工作安排及环境较为人性化；五、公司班车路线：太仓班车线路：7:00（太仓城厢镇南郊小学）—8:15(公司）松江班车线路：07:20发车(泗泾站)— 07:35发车(西外) —07:45(荣乐路谷阳路) —07:53(白洋小区) —08:00(新理想) —08:20(公司)莘庄班车线路：07:40发车(莘庄地铁站北广场)— 07:45(莘庄乐购) —07:50(G60中春路)—08:20(公司)"
