硬件工程师,20-25k·14薪,无锡,1年以下,统招本科,职责描述：1、新产品线路图设计，元器件选型；2、完成PCB Layout；3、测试及问题整改；4、测试报告及研发各阶段资料整理；5、协助解决生产问题，以及提高生产效率。任职资格：1.全日制本科及以上学历，电子信息工程相关专业；2. 熟悉电磁兼容、测试性及可靠性相关知识，熟悉嵌入式软硬件开发；3. 熟悉PCB板设计、散热机构设计，具有电路仿真及容差分析经验；4. 有模块电源、变频器、逆变器、UPS、开关电源等新型电力电子产品开发经验者优先；5. 熟悉电源、电子、电气类产品开发经验者优先；6. 有较强的协调和沟通协调能力。 
未来电力系统研究员G02224,20-30k·15薪,南京-雨花台区,3-5年,硕士及以上,1、跟踪新型电力系统建设的步伐，提前研判电力系统对新能源发电设备、储能系统的新要求，为以新能源为主体的新型电力系统提供解决方案；2、参与新产品需求分析、概要设计、测试验证方案编制和评审，为公司内外部客户提供电力系统专业技术咨询服务；3、主持或参与科技项目，开展新型电力系统相关业务领域的前瞻性技术研究；4、承担EPC项目涉及的电力系统分析任务，协助项目团队与电网公司的沟通工作，解决新能源场站与电力系统协调运行相关实际问题；5、承担海外电站投资开发项目接入电力系统、调度运行控制涉网问题研究和仿真分析任务；6、代表公司参与产品涉网性能相关标准的制定和审查，代表公司参与行业学术会议，宣传公司产品和工程案例。1、具有扎实的电力系统专业理论基础；2、具有以下专业领域工作经验或学术背景（至少一项）：电力系统仿真与分析，电力系统优化与控制，新能源场站运行控制，主动配电网/微网运行，综合能源系统规划及运行，电力市场，虚拟电厂，需求侧响应；3、熟悉新能源场站、储能、分布式能源、能源互联网、微电网、智慧能源、智能配电等行业市场及技术；4、精通如下电力系统仿真软件中的至少一种：PSCAD、PSS®E、MATLAB、DIgSILENT、BPA、PSASP、EMTP；5、具有电力系统建模仿真相关领域3年及以上工作经验；6、具有较强独立解决问题的能力，具有良好的沟通能力、组织协调能力和团队协作精神。
产品经理(能源业务),18-25k·15薪,苏州,5-10年,本科及以上,工作职责:1、负责新型电力系统方案、零碳工业方案的搭建；2、负责解决方案开发中的关键问题和技术难点；3、负责方案的输出与培训；4、协助项目经理完成方案需求调研、整理与分析。任职资格:1、本科及以上学历，自动化、电力电子、电力工程；2、要求具备系统方案/项目管理相关工作经验；3、精通C、C++等常用编程语言，了解Lua、Python等脚本语言；4、良好的专业基础和学习能力，自我驱动力强，刻苦专研，对于技术工作有强烈的意愿；5、有相关电力系统、光伏系统项目经验优先考虑。
硬件工程师,15-20k·14薪,无锡,3-5年,统招本科,职责描述：1、新产品线路图设计，元器件选型；2、完成PCB Layout；3、测试及问题整改；4、测试报告及研发各阶段资料整理；5、协助解决生产问题，以及提高生产效率。任职资格：1.全日制本科及以上学历，电子信息工程相关专业；2. 熟悉电磁兼容、测试性及可靠性相关知识，熟悉嵌入式软硬件开发；3. 熟悉PCB板设计、散热机构设计，具有电路仿真及容差分析经验；4. 有模块电源、变频器、逆变器、UPS、开关电源等新型电力电子产品开发经验者优先；5. 熟悉电源、电子、电气类产品开发经验者优先；6. 有较强的协调和沟通协调能力。 
电源/硬件工程师,10-30k·14薪,无锡,3-5年,统招本科,职责描述：1、新产品线路图设计，元器件选型；2、完成PCB Layout；3、测试及问题整改；4、测试报告及研发各阶段资料整理；5、协助解决生产问题，以及提高生产效率。任职资格：1.全日制本科及以上学历，电子信息工程相关专业；2. 熟悉电磁兼容、测试性及可靠性相关知识，熟悉嵌入式软硬件开发；3. 熟悉PCB板设计、散热机构设计，具有电路仿真及容差分析经验；4. 有模块电源、变频器、逆变器、UPS、开关电源等新型电力电子产品开发经验者优先；5. 熟悉电源、电子、电气类产品开发经验者优先；6. 有较强的协调和沟通协调能力。
电子工程师,15-20k·13薪,扬州,经验不限,统招本科,岗位职责：1.对本专业先进技术进行跟踪、研究、试验和攻关，完成技术储备2.协助开展公司技术发展规划的论证3.完成公司技术创新项目4.完成新品前期的跟踪和技术沟通，对本专业新产品技术指标进行分析和确认，与客户协调签订技术协议5.按照国际、国家标准文件和用户要求进行产品设计开发6.负责产品开发、设计的策划和实施，已定型产品的改进改型7.对主管产品进行单元件特性分类，确定其关键件、重要件8.编制产品的设计规范、技术规范、装调说明书、履历本等技术资料9.根据标准和产品不同特点，在设计工作中开展计算机辅助设计、优化设计、可靠性、维修性、保障性、安全性设计及其它数理统计方法的应用10.负责新产品在设计开发过程中设计评审的准备、申请、设计报告及相关问题的处理11.负责产品研制阶段按型号系统要求，开展故障报告、分析和纠正措施系统工作12.负责与客户进行技术问题的沟通，完成各阶段的技术支持13.负责解决新研产品在生产过程中和外场出现的技术问题14.协助处理批产品在生产过程中和外场出现的技术问题协助完成知识产权工作15.协助开展市场调研工作职位要求：1.熟悉电磁兼容、测试性及可靠性相关知识；2.熟悉嵌入式软硬件开发；3.熟悉PCB板设计、散热机构设计，具有电路仿真及容差分析经验；4.具有创新及独立开发能力；5.有模块电源、变频器、逆变器、UPS、开关电源等新型电力电子产品开发经验者优先；6.熟悉电源、电子、电气类产品开发经验者优先；7.有较强的协调和沟通协调能力。
电源硬件工程师,15-25k·14薪,无锡,3-5年,统招本科,职责描述：1、新产品线路图设计，元器件选型；2、完成PCB Layout；3、测试及问题整改；4、测试报告及研发各阶段资料整理；5、协助解决生产问题，以及提高生产效率。任职资格：1.全日制本科及以上学历，电子信息工程相关专业；2. 熟悉电磁兼容、测试性及可靠性相关知识，熟悉嵌入式软硬件开发；3. 熟悉PCB板设计、散热机构设计，具有电路仿真及容差分析经验；4. 有模块电源、变频器、逆变器、UPS、开关电源等新型电力电子产品开发经验者优先；5. 熟悉电源、电子、电气类产品开发经验者优先；6. 有较强的协调和沟通协调能力。 
电源开发工程师,15-25k·14薪,苏州,经验不限,本科及以上,岗位职责：1.对本专业先进技术进行跟踪、研究、试验和攻关，完成技术储备2.协助开展公司技术发展规划的论证3.完成公司技术创新项目4.负责产品开发、设计的策划和实施，已定型产品的改进改型5.产品关键部件特性分析，确定关键参数选型6.根据标准和产品不同特点，在设计工作中开展计算机辅助设计、优化设计、可靠性、维性、保障性、安全性设计及其它数理统计方法的应用7.负责新产品在设计开发过程中设计评审的准备、申请、设计报告及相关问题的处理职位要求：1.熟悉电磁兼容、测试性及可靠性相关知识；2.熟悉嵌入式软硬件开发；3.熟悉PCB板设计、散热机构设计，具有电路仿真及容差分析经验；4.具有创新及独立开发能力；5.有模块电源、变频器、逆变器、UPS、开关电源等新型电力电子产品开发经验者优先；
综合能源业务咨询专家,30-60k,南京,1年以下,学历不限,岗位职责：负责总部或网省业务支撑，跟踪整县光伏、双碳或新型电力系统等焦点业务需求，提出部门应对技术与市场计划，或独立支撑网省公司一个营销业务处室的业务，完成客户关系的维系与业务长线开拓。任职要求：1.工作经验：7年以上工作经验，具有国网电力营销信息化项目、综合能源项目总包、能源装备研发经历之一，熟悉综合能源服务业务最新发展趋势，开展部门中长期业务发展路径规划研究。或能够结合总部、网省处室工作需要，提出项目建设建议，并争取项目。2.技术经验：能源系统、能源交易与金融、电力营销、物联网与信息系统研发、控制终端研发之一或多个。
电源工程师,10-20k·13薪,无锡-江阴,5-10年,学历不限,"1、 本科及以上学历，电子、电气、通信、自动化等相关专业；2、 5年以上开关电源研发工作和项目管理工作经验；3、负责 AC-DC电源电路设计, 电源电路器件的选型，4、PCB设计（pcb layout）， 5、研发样品性能的调试测试和产品优化设计，6.有模块电源、变频器、逆变器、UPS、开关电源等新型电力电子产品开发经验者优先；7、有电子理论基础和元器件知识 ,了解电磁兼容,产品可靠性知识 ,对电路仿真、容差分析、电源认证及开关电源行业有较深的了解  ."
