commentor_name,comment_text,create_time,like_count,reply_number
EDG电子竞技俱乐部,感谢大家的支持，请大家注意理性庆祝，遵守秩序哦！,2021-11-07 02:27:59,8585,87
MaxGordon,好多过于偏激的有点太过了,2021-11-07 02:17:15,13667,397
LNG_Jane,真的要理性庆祝🆘别搞那些扰民的，不雅的，过火的，求求了！,2021-11-07 02:17:44,8976,104
委鬼舟亢,确实要理性一点，不然出了事又把锅扣EDG头上了,2021-11-07 02:17:51,3086,64
就是你的迷妹呀,看到有人跳楼裸奔什么的救命啊太疯狂了感觉要被上面点名的。,2021-11-07 02:21:19,5018,233
沼泽地带,我已经看过了喝马桶水 舔马桶 集体裸奔 以及奶子写字等视频了,2021-11-07 02:17:36,2313,149
无用功夫大师,真的挺有病的，edg粉丝不会这样，疯批lpl粉丝真的差不多得了，前两年怎么没见这么多人呢,2021-11-07 02:24:41,2465,294
乳酸cc,那些人哪里是在庆祝，给自己找存在感罢了and 腾竞你搞得什么破质量营销啊,2021-11-07 02:19:13,2108,33
阮豆啊,我看到把国旗搞下来 升edg旗的 这真的没有问题吗   侮辱国旗罪啊,2021-11-07 02:22:21,2512,69
昀莓朵朵,你们的营销迟早会反噬到自己身上,2021-11-07 02:38:32,1182,17
奶凶奶凶又甜又拽可渣可善的我,pyq裸奔的 剃头的 吃💩的 喝🚽水的 🚽里洗头的  跳楼的 裤裆放鞭炮的 姑娘们以后找对象不要找玩游戏的男朋友，他们有可能做过上面那些事,2021-11-07 02:21:53,1104,72
三三啊sAm_,我最后的疯狂就是在等你的宝石半价狠狠消费一把,2021-11-07 02:17:18,626,14
韦斯莱商店逃课糖,好多人真的不是粉丝 就nm嗯蹭 我们淀粉真没有露yp 谢谢我今晚哭的口香糖都咽下去了 一边哭还一边骂这些恶臭人 我太难了,2021-11-07 02:22:20,655,41
波猪i,哈哈哈哈哈哈哈哈哈哈哈哈下水道都快被他们喝完了,2021-11-07 02:17:23,692,7
-赤道冰点-,有些flag都脏成这样了是不是还觉得自己挺牛啊 大半夜扰民让所有竞粉背锅被骂 妈的凭什么？,2021-11-07 02:22:54,701,5
你发塞的样子像个德国馒头,官方都发话了疯子该收手洗洗睡了吧,2021-11-07 02:19:12,401,1
期盼在梦里与你相见,真的有些过于偏激了…令人无语的程度,2021-11-07 02:17:47,332,11
啵啵没有奶膘可爱,哈哈哈哈哈你是说裸奔吗hhhhhhh,2021-11-07 02:17:27,91,22
这地好划,是EDG夺冠了 不是妓院开门了,2021-11-07 02:33:12,258,2
起司的星星,我真的不想看到内些辣眼睛的flag了🙏,2021-11-07 02:18:38,165,0
雨仙人L,自己把lol营销成这样的这福气你就受着吧,2021-11-07 02:39:29,164,0
yiloromora9kk,送吴亦凡出来的那一批队伍什么时候开始,2021-11-07 02:19:01,135,3
腾讯电竞,V掌门和大家一样激动，但同时也特别提醒，大家一定要注意理性庆祝，安全防疫，遵守公共秩序。杜绝不文明的行为，享受属于我们的电竞之夜！,2021-11-07 02:39:05,81,13
婷子不是大脸妹,中国夺冠谁不开心？你开心我也开心，但这绝不是扰民的理由。这个世界给你的自由，是相对自由，做任何事的前提是不能影响到别人，这是从小到大老师教育我们的，把大喊大叫当青春热血？没素质就是没素质，你喊了一千遍也是没素质。,2021-11-07 08:01:05,143,7
我的可爱男友怎么哭着要走,u1s1，那些立flag的差不多80%都不是国电粉丝吧借着edg夺冠发疯，后续edg又要被黑粉丝无素质，明明就是一群跟风的人，冠军实惨,2021-11-07 02:44:42,95,3
向江南借花,你这是被谁投诉了,2021-11-07 02:17:32,75,10
古德猫尼哇,理智一点 电竞发展到现在也不容易 小心被上面点名,2021-11-07 02:23:46,72,0
超哥星,喜事丧办了属于是,2021-11-07 02:26:17,74,0
wuli小蔡包,腾竞:我慌了，大家稳着点,2021-11-07 02:17:51,36,0
花间鹿vivi,好烦啊，一堆平时看都看不到的低素质蛆现在突然戴上edg帽子狂舞🙉感觉又要俱乐部买单了,2021-11-07 02:20:39,44,0
EthealCollapsar,我说那些个疯批要疯自己疯去，全网就三百淀粉别乱按头是粉丝。,2021-11-07 02:38:32,35,5
卿音歆月,大半夜吼叫，街头裸奔，喝马桶水的是不是有什么毛病？,2021-11-07 02:20:23,64,0
可叹停机德_,封杀吧，大学生们都疯了，大半夜叫唤，有病一样,2021-11-07 08:06:39,40,2
埃弗顿那些事儿,明天我觉得会有一些“过激”庆祝而被拘留的新闻出来,2021-11-07 02:18:54,32,3
如常降雨,能不能别借着这个由头在这发疯啊。别说素质了，底线都快没了。。热爱和文明不能共存吗？？？？,2021-11-07 03:42:22,27,0
向一啾,腾竞这波破营销怕是要砸了自己的jio🚬,2021-11-07 02:42:36,31,0
QINSHI诗,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,2021-11-07 02:17:11,16,0
钉宫理不惠QAQ,夺冠前还真不知道lpl有这么多粉丝😅😅😅,2021-11-07 02:40:48,27,0
Sixteen好想吃芒果,有些行为真不至于 EDG看了都想把奖杯还回去,2021-11-07 02:18:41,38,1
冰镇杨梅瑞纳冰,真的是 好过激……我理解不le,2021-11-07 02:18:21,29,0
