【亮记生物鉴定】网络热传生物鉴定34,743.8万,61.1万,9356,1.8万,10.3万,总弹幕数3.9万,"['生物', '知识分享官', '自然']"
海滩上的水母，死了 但没完全死，不能碰！！,585.1万,15.2万,1180,1788,2278,总弹幕数1008,"['科学3分钟', '水母', '海南博物志', '澳洲斑点水母', '博物杂志', '博物']"
自动扶梯那排毛刷，真正用途！不要再用它刷鞋了！,517.7万,22.8万,2393,3619,3905,总弹幕数2481,"['冷知识', '科普', '趣闻', '知识分享官', '围裙板']"
熬夜的好处，你知道的太晚了,513.7万,40.3万,11103,20.1万,7.1万,总弹幕数6578,"['健康', '科学3分钟', '熬夜']"
堪比特效大片！跨越3000公里，带你看放慢1300倍下的闪电⚡️⚡️,483.6万,62.0万,6475,3.2万,59.7万,总弹幕数2.6万,"['地理', '科学', '摄影', 'vlog', '科普', '知识分享官', '自然', '物理', '闪电', '超高速摄像机']"
一个小男孩把150颗维生素软糖当做早餐，这是他的骨头发生的变化,476.3万,15.1万,5435,1.2万,2.8万,总弹幕数1.8万,"['4K', '健康', '科普', '知识分享官', '知识', '医学', 'chubbyemu']"
20秒让鼻子通气,389.2万,31.0万,4883,5.6万,4.2万,总弹幕数1407,"['冷知识', '健康', '趣闻', '实验', '生命', '鼻子不通', '感冒', '医生', '鼻炎', '鼻塞']"
一个困扰科学家的古老谜题：为什么意大利面不能折成两段？,354.5万,21.9万,3769,2972,2713,总弹幕数2176,"['冷知识', '科学', '科普', '趣闻', '科学3分钟', '脑洞', '实验', '意大利面', '物理', '趣味知识', '涨知识']"
【医学博士】后背、下巴全是痘怎么办？I 身上的痘痘如何治疗？,350.2万,19.6万,3996,1.8万,4.5万,总弹幕数8487,"['健康', '科普', '搞笑', '知识分享官', '情感', '脱发', '沙雕', '青春痘', '刮胡子', '毛囊炎']"
【亮记生物鉴定】网络热传生物鉴定34,743.8万,61.1万,9356,1.8万,10.3万,总弹幕数3.9万,"['生物', '知识分享官', '自然']"
