timedate,content
2021-12-21 09:33:00,破11了吧。
2021-12-21 09:34:00,还是那句话，好股你买不到，买到都是坑
2021-12-21 09:34:00,狗玩意的跌停吧
2021-12-21 09:49:00,我买了 金融街 华侨城 保利发展 。我猜对了板块没猜对股票，涨的都是垃圾地产股。
2021-12-21 10:07:00,还以为你会强势呢，没想到还是按套路来，先出绿柱释放压力。
2021-12-21 10:18:00,先撤了吧
2021-12-21 10:23:00,明天会上涨的，收盘应该在11.40以上，拭目以待吧。最有可能是明天先下探10.90然后震荡上行，估计能冲高11.70左右。
2021-12-21 10:24:00,托们，牛逼吹爆了
2021-12-21 10:30:00,这是卖的什么药
2021-12-21 10:57:00,没有主力，只有苦力。
2021-12-21 11:03:00,看着走势，药退回了，补充临床资料
2021-12-21 11:07:00,赶紧去路边摆个碗乞讨点钱，准备过年吧。
2021-12-21 11:19:00,转发
2021-12-21 11:34:00,会下探20日线吗
2021-12-21 11:56:00,【无量下跌是阴-毛啊】
2021-12-21 12:16:00,不信你不调整！二十日线和缺口我在等你，会顶你！
2021-12-21 13:26:00,某人智商有问题，不叫评论。无脑唱多。
2021-12-21 13:27:00,涨一天跌四天，很好操作啊
2021-12-21 13:28:00,狗抗凉凉，别再幻想了。利好等散户上车的那就是大套套。
2021-12-21 13:30:00,金叉来了
2021-12-21 13:41:00,10.56都止不住，还吓唬。坑多人也坏
2021-12-21 13:42:00,黑天鹅的可能性非常大
2021-12-21 13:43:00,还好昨天跑了
2021-12-21 13:53:00,明天跌停
2021-12-21 13:53:00,没有最低，只有更低
2021-12-21 13:54:00,这20日均线有点远啊？赶紧上来吧？
2021-12-21 14:00:00,估计今天涨停没悬念
2021-12-21 14:05:00,这垃圾就是这样
2021-12-21 14:07:00,明天破10
2021-12-21 14:07:00,浪费今天行情
2021-12-21 14:09:00,10.73收盘没悬念
2021-12-21 14:09:00,吓唬谁呢。
2021-12-21 14:11:00,印度都能搞出来，华药要是爆雷的话。那真是个笑话
2021-12-21 14:11:00,妖气环绕，种来个跌停。看看有人秒你没有
2021-12-21 14:31:00,九安医疗 是真他niang的牛叉，一个多月都6倍了
2021-12-21 14:42:00,这庄真不要脸
2021-12-21 15:05:00,9.06的成本。还有比我惨的吗？
2021-12-21 15:12:00,还可以坚持10个点。。。
2021-12-21 15:13:00,庙小妖风大
2021-12-21 15:24:00,你这个
2021-12-21 15:32:00,狗庄砸盘也砸不出啥来，没什么人卖
2021-12-21 15:46:00,3000多只股票涨你跌!你也是人才
2021-12-21 16:16:00,没想到高速没成了华公公的股东，叫挖煤的截胡了。世事难料变化太快啊。
