data1,data2,title,timedate,content
148,2,润医药重组华北制药-视野知识研究院华润医药重组华北,扎扎实实平地起,12-22 09:02,"润医药重组 华北制药 - 视野知识研究院 华润医药重组 华北制药 华润医药集团有限公司的发展战略 以品牌中药、医药分销、品牌化学普药为核心业务,通过并购重组、业务整合、市场拓展、管理提"
176,3,犬单抗新药公司主营董事长总经理这么说！！！！华药集,扎扎实实平地起,12-22 09:01,犬单抗新药公司主营董事长总经理这么说！！！！ 华药集团新药公司参展第21届中国生物制品年会 文章来源： 发布时间2021-10-25 15:23:39 华药集团新药公司参展第21届中国生物制品年会 10月14日至10月16日，第21届中国生物制品年会在南京国际博览中心隆重举行。大会云集了最具影响力的科研工作者与最具实力的生物医药创新企业， 华北制药 新药公司作为生物医药领域领军企业参加了本次盛会。 新药1.jpg 本次大会由中国疫苗行业协会、中国药学会生物药品与质量研究专业委员会、中华预防医学会生物制品分会、中华预防医学会疫苗与免疫分会、 中国医药 生物技术协会疫苗专业委员会、中国微生物学会生物制品专业委员会共同主办。来自全国各地疫苗行业的科研人士、业界专家、企业代表齐聚一堂。 会议围绕生物医药前沿技术设置主会场并开设了“狂犬病防控论坛”、“抗体药物产业化论坛”、“生物制药工程技术论坛”等14个平行分论坛，此次会议邀请了在国内生物制药领域取得突出成果并具有重要学术影响的专家学者进行学术报告交流。 华北制药 股份公司副总经理、新药公司总经理高健做了题为《抗狂犬病毒单抗研发主要科学问题探讨》的学术报告，他对中国狂犬病流行及防控现状、狂犬病致病机理及暴露后处置、狂犬病单克隆抗体研发进展等相关内容进行了现场交流。随后，高健就 华北制药 潜心研发的国家一类新药重组人源抗狂犬病毒单抗注射液的作用机理和产品优势进行了详细介绍。学术报告精彩纷呈，会议现场气氛热烈。 新药2.jpg 新药公司准备充分，在分会场现场播放企业宣传片，展示生物医药新技术与新成果，引来客商驻足新药公司展台前咨询洽谈，工作人员热情向宾客进行企业和产品推介，并积极解答客户咨询问题，不少客商慕名而来，咨询华药新产品，表达了合作愿望。（孔梦蝶 宋欣） 河北省国资委带记者团走进华北制药 权伟娜 文并图 华北制药 2021-10-18 19:50 秋高气爽，凉风习习。10月14日，华药“品质文化之旅”迎来一群特殊的客人——省国资委外联处处长张瑞娥带队，新华社、 人民网 、经济日报等16家媒体组成的河北省国资委“国企改革三年行动”示范企业集中报道暨“新闻媒体国企行”记者团，专程前来，宣传华药“科改”成就、探访华药品质文化。 这里面的原液一罐要几百万！ 生产设备全部智能化，车间工人劳动强度大大降低 初到生物药基地抗体车间，新药公司党委副书记马岩热情地为媒体朋友介绍着公司高精尖设备和产品。 生物药研发真是高端！ 这些设备仪器真先进，难怪生物药科技含量高 穿梭在车间参观走廊和生物所实验室，面对动辄百万价值的精密仪器，听着工作人员的耐心讲解，媒体记者们不住地赞叹。 图片 “新药公司是国务院纳入’科改’示范企业的河北两家企业之一，多年来创新成果不断，特别是国家一类新药基因重组人源抗狂犬病毒单抗注射液，历经18年研发，终于要出结果。希望媒体朋友们能够深度挖掘素材，讲好企业故事，助力企业更好发展。” 省国资委外联处处长张瑞娥表示。 图片 2020年，新药公司入选国务院“科改”示范企业，公司积极行动，重点在完善法人治理结构、健全市场化选人用人机制、完善市场化激励约束机制、激发科技创新动能等方面担当作为，取得显著成效。华药股份公司副总经理，新药公司党委书记、董事长高凌云表示：“一年多以来，在国务院国资委和省国资委的指导下，公司进行了经理层成员的任期制契约化管理、推进了市场化用工改革、以业绩定薪酬，在短期激励和中长期激励等方面都进行了大胆探索和实践。公司将以‘科改’为契机，正积极引战、混改、丰富研发管线，力争2025年在科创板上市，成为真正的创新发展企业。” 【本期编辑 常青
178,6,我目前持有华北150万股，今明两天伺机而动。,耍吠帮耍出瘾来了,12-22 08:55,我目前持有华北150万股，今明两天伺机而动。
160,3,真的假不了（迅可，奥木替韦单抗注射液）批文！,扎扎实实平地起,12-22 08:37,真的假不了（迅可，奥木替韦单抗注射液）批文！
2620,60,不以物喜不以己悲,分子砌块,12-22 08:26,华药主力此时的态度吧，这就是个性！
48,0,这里的热闹比宏慌之力和蕾神之锤要精彩[呲牙],股友JBWNHD,12-22 08:25,这里的热闹比宏慌之力和蕾神之锤要精彩
17094,555,现在是一个点都要卖了….[笑哭][笑哭]哩哩啦啦兄弟10,SlowFen,12-22 08:19,现在是一个点都要卖了….  哩哩啦啦兄弟 10块钱能把我的收了不
341,1,今明两天有公告，根据a股的尿性，主力资金必然提前知,耍吠帮耍出瘾来了,12-22 07:38,今明两天有公告，根据a股的尿性，主力资金必然提前知晓狗抗的结果，所以对于散户来说如何判断狗抗的命运，只需看今明两天华北制药的走势就一目了然了。
85,0,华北制药：融资净偿还467.23万元，融资余额6.88亿元（,华北制药资讯,12-22 07:27,"来源：东方财富Choice数据  作者：财智星   华北制药融资融券信息显示，2021年12月21日融资净偿还467.23万元；融资余额6.88亿元，较前一日下降0.91% 融资方面，当日融资买入2171.7万元，融资偿还2638.93万元，融资净偿还467.23万元。融券方面，融券卖出0股，融券偿还0股，融券余量22.5万股，融券余额241.2万元。融资融券余额合计6.91亿元。 华北制药融资融券交易明细（12-21） 华北制药历史融资融券数据一览 免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。 .autoimg {display: block;border: 0;max-width: 100%;margin: 0 auto;} .tbl {border-collapse: collapse;border-spacing: 0;text-align: center;width: 100% !important;} .tbl tr th, .tbl tr td {border: 1px solid #d8e6ff;padding: 5px;text-align: center;} .tbl tr th {color: #fff;background-color: #1c65b0;vertical-align: middle;} .tbl tr td {color: #000;background-color: #fff;} .imgtitle {text-indent: 0;text-align: center;color: #2395F1;} .autosrc {color: #999;display: block;text-align: center;margin-bottom: 5px;} （文章来源：东方财富Choice数据）  [点击查看原文]"
327,6,2021年10月，经省委研究决定，杨印朝同志主持冀中能源,花泽812,12-22 06:25,冤枉郝竹山秘书长了，原来杨印钞这小子上来开始拖欠华药部分员工薪水的了？ 冀中能源 集团人事变动偷偷摸摸呀！
