platform,category,course_name,course_id,total_stu,course_info,teacher_name,teacher_id,rating,source,price
icourse,农林园艺,作物栽培学,NWSUAF-1003594006,216,《作物栽培学》课程是农学专业的一门学科专业课，也是主干课，是一门以植物学、植物生理学、土壤学、肥料学、农业气象学、植物病虫害防治学等多学科为基础，综合运用农业、生物学中许多学科的理论和技术，研究作物生长发育、产量和品质形成规律及其与环境条件的关系，探索通过栽培管理、生长调控和优化决策等途径，实现作物高产、优质、高效及可持续发展的理论、方法与技术科学的理论课程，也是将农业科学转化为现实生产力的技术性很强的应用以及实践课程。本课程主要包括“绪论”和九种“大田作物”，其中9种“大田作物”包括了4大主粮作物：小麦、水稻、玉米和马铃薯；纤维作物：棉花；油料作物：油菜；豆类作物：大豆；杂粮作物：谷子和高粱；种类较多。其在线教学内容为66讲，占整个《作物栽培学各论》的1/2左右。作物生育规律、器官建成、产量形成、高效抗逆高产综合理论与技术是学习重点。本课程教学的主要任务是使学生了解主要农作物的生产和发展以及在国民经济中的重要性；掌握主要作物的生物学特性、作物的栽培理论、对环境条件的要求和主要栽培技术环节，明确作物的现代栽培技术。,"任小龙,蔡铁,刘铁宁,张鹏,王瑞,陈小莉,张保军,贾志宽","46280618189710631,46043203171846823,46469332504433391,63476724741055839,79334278451306340,79745043236034212,46472815236065526,70233342289789451",,,
icourse,农林园艺,农业昆虫学,NWSUAF-1002403001,463,“农业昆虫学”是高等农业院校植物保护专业的主干课程之一，属必修课。本课程是研究危害农作物的有害昆虫（IsectPests）和螨类（Mites）的发生规律和综合防治技术的一门应用科学。该课程简要介绍害虫种群动态与虫害形成机制、害虫防治及综合治理的基本理论。主要阐明农作物、果树、蔬菜、棉花等作物主要害虫的识别特征、分布与危害特点、生物学习性、发生与环境条件的关系、预测预报和综合防治技术，为保障农业生产安全和农业科研、教学工作培养基础理论扎实，并具有较强实践技能的专业技术人才。西北农林科技大学植保专业“农业昆虫学”课程先后荣获西北农林科技大学精品课程、陕西省精品课程和陕西省精品资源共享课程。在这一部分，主要学习棉花、油料作物、甜菜、烟草和蔬菜害虫的发生规律与综合防治技术。,仵均祥,1511141611857,,,
icourse,农林园艺,植物生理学,scnu-1003197008,2799,"本课程在原国家级精品课程、国家级精品资源共享课《植物生理学》课程的基础上转型升级，是一门理论联系实际、特色鲜明的MOOC。课程共分为四篇，分别是植物的水分和矿质营养、植物的物质代谢和能量转换、植物的信号转导、植物的生长与发育。本课程既涵盖了植物生理学领域的基本原理与主要方法，也体现了学科的发展趋势。通过本课程的学习,可认识植物生命活动中的生理过程和本质，了解如何使植物合理利用光、气、水及土地资源服务人类的基本原理。","李玲,彭长连,李娘辉,张盛春,胡博,李海航,施和平","1533440983438,66585689411416740,42220915323347974,42733069300323219,42676843446233710,42844275666263074,43015229356294276",,,
icourse,农林园艺,饲料毒物学,HZAU-1002741007,439,饲料在生长、生产、加工、储存、运输等过程中可能产生或被污染某些有毒有害物质。这些物质不仅降低了饲料的利用率，还会降动物生产性能、损害动物健康，还可能在动物性食品中残留。畜牧业的快速发展，常规饲料资源短缺的问题越来越突出，而某些有潜力的非常规饲料资源，由于其中含有抗营养因子限制了其利用。因此掌握饲料中的毒物或抗营养因子的种类、含量、性质及其有害作用和消除危害的措施是开展安全、高效畜牧养殖的基础。饲料毒物学是研究饲料中出现的有毒有害的物质及其对动物机体的作用机理与预防措施的一门科学，其任务是阐明饲料中有毒有害物质的种类、性质、水平，及消除其危害的具体措施和方法，以保证资源的合理利用，保证畜禽身体健康和生产性能稳定，为人类提供营养丰富、实用安全的优质畜产品。,张妮娅,1514362147224,,,
icourse,农林园艺,植物营养学,HZAU-1003256004,1305,植物营养学是研究植物营养与施肥的科学，它在保障国家粮食安全、促进农民增产增收、生产优质农产品、美化生活环境、促进畜牧业发展、保护生态环境、协助营养高效育种、促进肥料产业健康发展等方面发挥着重要的作用。《植物营养学》课程共有十七讲，56个学时，通过线上学习、线下讨论、案例分析、项目研究，了解植物营养学在农业生产中的地位及其与农业生态环境的关系，掌握土壤养分生物有效性及植物对营养元素的吸收和转运机制，掌握各种营养元素的生理功能及营养失调症，了解土壤中营养元素的转运规律，掌握各种肥料的特点及施用方法，学会植物营养学中分析问题和解决问题的基本方法，具有一定的创新意识和国际化视野。,"石磊,姜存仓,刘新伟,汪社亮,李小坤,郭再华,张文君,孙学成,丛日环,王创,杨猛,蔡红梅,耿明建,谭启玲,丁广大","8879319628524565,64450005055358312,64460225220246296,40655220759498152,40662515769519381,74732327201012504,40683662456791448,64449524056867953,40662512156560332,40684966954948389,64542121067898099,40686016309672154,9259438325456854,40791658846219030,6082202836",,,
imooc,Java,微服务架构在二手交易平台（转转）中的实践,785,23681,,musicml,4691819,4.8,,
imooc,Python,区块链技术核心概念与原理讲解,988,35697,,Tiny熊,2137489,4.65,,
imooc,Go,用GO语言构建自己的区块链,1011,11857,,Ashton2018,254772,4.85,,
imooc,Go,私有区块链，我们一起GO,1021,11171,,中关村隐士3409088,3409088,4.65,,
imooc,深度学习,神经网络简介,930,26905,,Erik_Song,307362,4.1,,
