platform,course_name,course_id,user_name,user_id,rating,comment,comment_date,thumb_up
icourse,中国茶道,HUNAU-1001667002,Vivian6190,1029253832,5.0,很精彩，学到很多茶方面的知识,2018-03-19,4.0
icourse,中国茶道,HUNAU-1001667002,朱进伟西农,629208,5.0,必须满分了，第一看到老师的课是在网易公开课，今天无意看到新开的课程。变化非常大，整体制作和风格都是用心、精心的雕琢，我用四个美来概括 一、朱老师示范优雅之美 二、课件PPT制作、动画设计之美 三、老师引用经典、古籍的诗意解读之美 四、视频剪辑、取景之美,2018-03-12,4.0
icourse,中国茶道,HUNAU-1001667002,戴娟mooc,1136521503,5.0,利用下班时间，还能学习到这样专业的课程，真的特别的棒，而且还是免费的，谢,2018-03-19,3.0
icourse,中国茶道,HUNAU-1001667002,jsjqinguanghong126com,2219366,3.0,感谢老师的讲解，我很喜爱这门课。通过学习，我了解了茶的历史、茶的种类、茶的作用以及茶文化的深邃。,2018-03-19,3.0
icourse,中国茶道,HUNAU-1001667002,yasaki0105163com,4948045,5.0,关于茶的知识，一直以来都非常感兴趣，老师的讲解非常生动，配以视频实例，更加容易理解！,2018-03-18,3.0
icourse,中国茶道,HUNAU-1001667002,一个傻子的梦,1035248457,5.0,才学习了一周的课程，我就可以确定这就是我想学的。,2018-03-15,3.0
icourse,中国茶道,HUNAU-1001667002,道法自燃,1035762109,5.0,我喜欢喝茶，所以来学,2018-03-14,3.0
icourse,中国茶道,HUNAU-1001667002,wnvov,8190940,5.0,不错，整个课程拍摄良好，学习起来兴趣大增,2018-03-12,3.0
icourse,中国茶道,HUNAU-1001667002,李白云mooc230,1138369184,5.0,课程组织合理，内容丰富，听了这些课受益颇深，特别向往去中国的每个茶产地实地考察！,2018-05-02,2.0
icourse,中国茶道,HUNAU-1001667002,4201170081王振领,1030653864,5.0,通过本章节的学习，自己真的是受益匪浅。深深感受到了中国传统文化的渊源流长，博大精深，并且也了解到中国茶道的魅力，长见识。,2018-03-18,2.0
imooc,初识HTML+CSS,9.0,_heyshado,2904100.0,4.0,棒的。感觉适合入门,2016-02-19,0.0
imooc,初识HTML+CSS,9.0,风中灬叶,2920147.0,5.0,适合初学很不错,2016-02-19,0.0
imooc,初识HTML+CSS,9.0,liuzhu_001,2866055.0,5.0,一边实践，一边学习的方式非常好，继续努力,2016-02-19,0.0
imooc,初识HTML+CSS,9.0,xiefengqing,2881101.0,5.0,还不错，很基础，还整理了很多初学者应该注意的问题，入门确实不难,2016-02-19,0.0
imooc,初识HTML+CSS,9.0,Vanklin,2866387.0,5.0,还不错,2016-02-19,0.0
imooc,初识HTML+CSS,9.0,TEST_WU,2863082.0,5.0,浅显易懂，不要需要任何背景知识,2016-02-19,0.0
imooc,初识HTML+CSS,9.0,fangfang_0005,1055752.0,5.0,挺详细的，以后还得多练习几遍,2016-02-19,0.0
imooc,初识HTML+CSS,9.0,Rational0,2910235.0,5.0,很基础很详细通俗易懂。,2016-02-19,0.0
imooc,初识HTML+CSS,9.0,Kob,425371.0,4.0,还是可以，感觉还需要增加一些内容。,2016-02-19,0.0
imooc,初识HTML+CSS,9.0,新越同学,2906211.0,5.0,很详细，很适合小白学习,2016-02-19,0.0
keqq,While老师-Python自动化运维开发（Django、Flask）-速成课程,51375,烨****,1199135372,5.0,很好...........................................................................................好,2015-04-30 12:09:17,
keqq,While老师-Python自动化运维开发（Django、Flask）-速成课程,51375,H****,769238032,5.0,Good.,2016-01-28 06:08:02,
keqq,While老师-Python自动化运维开发（Django、Flask）-速成课程,51375,老****,660198322,5.0,课程与描述相符很满意、老师的讲解表达很满意、老师的课前服务很满意、好好好好！,2016-01-20 13:20:32,
keqq,While老师-Python自动化运维开发（Django、Flask）-速成课程,51375,K****,701276442,5.0,很好，很多知识点平时没留意到的。不错!希望能够全程学习好Linux,2015-12-30 07:17:12,
keqq,While老师-Python自动化运维开发（Django、Flask）-速成课程,51375,失****,557839268,5.0,very good very good！,2015-12-23 02:34:01,
keqq,While老师-Python自动化运维开发（Django、Flask）-速成课程,51375,┈****,271677125,5.0,老师讲的东西很详细，不少内容，是自学很难涉及到的，工作中很实用,2016-01-11 07:12:52,
keqq,While老师-Python自动化运维开发（Django、Flask）-速成课程,51375,九****,274458149,5.0,RM我想听高级点课程 比如docker redis nginx,2015-12-14 02:33:55,
keqq,While老师-Python自动化运维开发（Django、Flask）-速成课程,51375,D****,759341344,5.0,改端口，可以很好的预防攻击。因为端口攻击都是扫描默认端口的。,2015-11-10 07:10:06,
keqq,While老师-Python自动化运维开发（Django、Flask）-速成课程,51375,若****,1234852325,5.0,RM老师讲的很清晰。希望以后多开点公开课，你的粉丝会多多的。,2016-03-10 07:43:17,
keqq,While老师-Python自动化运维开发（Django、Flask）-速成课程,51375,同****,269202392,5.0,学习的最终目的是掌握知识并为我所用，2016继续奋勇前进吧。,2016-01-08 13:38:53,
mooc163,老九零基础学编程系列之C语言,1003425004,｀隨風~輕舞^,ykt1477538894906,,946001966麻烦拉一下，感谢,2018-05-10 20:16:43,
mooc163,老九零基础学编程系列之C语言,1003425004,一如年少模样ykt1525950712017,ykt1525950712020,,874778651麻烦拉一下,2018-05-10 19:20:06,
mooc163,老九零基础学编程系列之C语言,1003425004,过客ykt1521628728129,ykt1521628728131,,1137993321麻烦拉一下，谢,2018-05-10 17:25:55,
mooc163,老九零基础学编程系列之C语言,1003425004,加油ykt1508313846178,ykt1508313846179,,这是好久的视频？,2018-05-10 17:20:20,
mooc163,老九零基础学编程系列之C语言,1003425004,ykt1525771097907,ykt1525771097916,,standard input out，不是standared,2018-05-10 15:27:38,
mooc163,老九零基础学编程系列之C语言,1003425004,Y 橙汁,ykt1525934253101,,849569355麻烦拉一下诶,2018-05-10 14:41:14,
mooc163,老九零基础学编程系列之C语言,1003425004,轮回镜,ykt1525764336239,,3155151332麻烦拉一下,2018-05-10 10:48:11,
mooc163,老九零基础学编程系列之C语言,1003425004,|▂◆姩(少轻诳？….,ykt1521254522570,,248767284麻烦拉一下谢,2018-05-09 20:42:49,
mooc163,老九零基础学编程系列之C语言,1003425004,66ykt1522831180473,ykt1522831180475,,1351581995，想进群麻烦拉下,2018-05-09 20:39:54,
mooc163,老九零基础学编程系列之C语言,1003425004,深情苍然,ykt1525776161679,,"1213950881,想要进群，谢谢。",2018-05-09 19:19:33,
