郑州市中原区教育局,不存在,郑州市中原区教育体育局,不存在,郑州市中原区教体局,不存在,中原区教育体育局,不存在,中原区教体局,不存在
郑州市二七区教育局,不存在,郑州市二七区教育体育局,不存在,郑州市二七区教体局,不存在,二七区教育体育局,不存在,二七区教体局,不存在
郑州市管城回族区教育局,不存在,郑州市管城回族区教育体育局,不存在,郑州市管城回族区教体局,不存在,管城回族区教育体育局,不存在,管城回族区教体局,不存在
郑州市金水区教育局,不存在,郑州市金水区教育体育局,不存在,郑州市金水区教体局,不存在,金水区教育体育局,不存在,金水区教体局,不存在
郑州市上街区教育局,不存在,郑州市上街区教育体育局,不存在,郑州市上街区教体局,不存在,上街区教育体育局,不存在,上街区教体局,不存在
郑州市惠济区教育局,不存在,郑州市惠济区教育体育局,不存在,郑州市惠济区教体局,不存在,惠济区教育体育局,不存在,惠济区教体局,不存在
郑州市中牟县教育局,不存在,郑州市中牟县教育体育局,不存在,郑州市中牟县教体局,不存在,中牟县教育体育局,不存在,中牟县教体局,不存在
郑州市巩义市教育局,不存在,郑州市巩义市教育体育局,不存在,郑州市巩义市教体局,不存在,巩义市教育体育局,不存在,巩义市教体局,不存在
郑州市荥阳市教育局,不存在,郑州市荥阳市教育体育局,不存在,郑州市荥阳市教体局,不存在,荥阳市教育体育局,不存在,荥阳市教体局,不存在
郑州市新密市教育局,不存在,郑州市新密市教育体育局,不存在,郑州市新密市教体局,不存在,新密市教育体育局,不存在,新密市教体局,不存在
郑州市新郑市教育局,不存在,郑州市新郑市教育体育局,不存在,郑州市新郑市教体局,不存在,新郑市教育体育局,不存在,新郑市教体局,不存在
郑州市登封市教育局,不存在,郑州市登封市教育体育局,不存在,郑州市登封市教体局,不存在,登封市教育体育局,不存在,登封市教体局,不存在
开封市龙亭区教育局,不存在,开封市龙亭区教育体育局,不存在,开封市龙亭区教体局,不存在,龙亭区教育体育局,存在,龙亭区教体局,不存在
开封市顺河回族区教育局,不存在,开封市顺河回族区教育体育局,不存在,开封市顺河回族区教体局,不存在,顺河回族区教育体育局,存在,顺河回族区教体局,不存在
开封市鼓楼区教育局,不存在,开封市鼓楼区教育体育局,存在,开封市鼓楼区教体局,不存在,鼓楼区教育体育局,不存在,鼓楼区教体局,不存在
开封市禹王台区教育局,不存在,开封市禹王台区教育体育局,存在,开封市禹王台区教体局,不存在,禹王台区教育体育局,不存在,禹王台区教体局,不存在
开封市祥符区教育局,不存在,开封市祥符区教育体育局,存在,开封市祥符区教体局,不存在,祥符区教育体育局,不存在,祥符区教体局,不存在
开封市杞县教育局,不存在,开封市杞县教育体育局,存在,开封市杞县教体局,不存在,杞县教育体育局,不存在,杞县教体局,不存在
开封市通许县教育局,不存在,开封市通许县教育体育局,存在,开封市通许县教体局,不存在,通许县教育体育局,不存在,通许县教体局,不存在
